ean,descricao,marca,conteudo,origem,autorizacao,enviado_por,imagem
7898215152002,LEITE COND.PIRAC.TP 395GR,,395 g,a confirmar,,Rede Valente,imagens/7898215/7898215152002.webp
7898247780297,OLEO SOJA VITALIV PET 900ML,,900 ml,a confirmar,,Rede Valente,imagens/7898247/7898247780297.webp
7898938706353,MEIO DA ASA UNIAVES BJ 1KG,,1 kg,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7898938/7898938706353.webp
7898938706377,FILEZINHO PEITO UNIAVES SASSA.BD 1K,,,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7898938/7898938706377.webp
7898938706599,CORACAO FRANGO UNIAVES PC 700G TEMP,,700 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7898938/7898938706599.webp
7898938706698,COXINHA ASA UNIAVES PC 700GR TEMP.,,700 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7898938/7898938706698.webp
7898938706711,MEIO DA ASA UNIAVES SC 700GR TEMP.,,700 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7898938/7898938706711.webp
7898938706834,MOELA DE FRANGO UNIAVES BJ 1KG,,1 kg,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7898938/7898938706834.webp
7898938706926,FILE DE PEITO UNIAVES BJ 1KG,,1 kg,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7898938/7898938706926.webp
7898938707411,CORACAO FRANGO UNIAVES PC 700G T.CH,,700 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7898938/7898938707411.webp
